service_name,count
Apply - Aadhaar & Mobile Link with Digital Ration Card,1206696
Application for EWS Certificates,29868
Apply - Swami Vivekananda Scholarship,24962
Search - Sikshashree Information,23806
Search - Sabuj Sathi Scheme Information,22779
Application for Aikyasree Scholarship,21536
Search - Application Status of Kanyasree Prakalpa,19528
Apply - Student Credit Card,14562
Search - Mass Education & Library Related Schemes Information,3902
Search - Counselling Result of Admission in Government ITI,2399
Apply - Merit Scholarship Examination (NMMSE),2223
Apply - Scholarship of Students with Disabilities,1641
Apply - Choice Filling of Admission in Government ITI,1125
Search - Discover Your Eligible Schemes,1055
Search - Entrance Result of Admission in Government ITI,991
Apply - Educational Loan Application,921
Apply - National Talent Search Examination (NTSE),835
Online fee submission in Government ITI,795
Online Admission in Government ITIs,515
Apply - Registration of Candidates for JEXPO,229
Apply - Provisional Admission for JEXPO,153
Apply - Counselling of Choice Filling Up for JEXPO,134
Search - Admit Card download & Printing for JEXPO,121
Search - Entrance Result of JEXPO,114
Search - Counselling for Result for JEXPO,112
Online fee submission for JEXPO,105
